الاسم,السعرات الحرارية,البروتين,الكربوهيدرات,الدهون,الوحدة,جرامات الوحدة,وصف الحصة
رز بالشعرية,150,3,28,3,نصف كوب,100,نصف كوب رز بالشعرية
صينية بطاطس باللحم,250,15,20,12,طبق صغير,200,طبق صينية بطاطس باللحم
صينية باذنجان باللحم,260,13,18,15,طبق صغير,200,طبق باذنجان باللحم
سمبوسة جبنة,120,5,10,7,قطعة,50,قطعة سمبوسة جبنة
سمبوسة لحم,150,7,12,9,قطعة,50,قطعة سمبوسة لحم
شوربة عدس,110,6,16,2,طبق صغير,200,طبق شوربة عدس
شوربة لسان عصفور,130,4,20,3,طبق صغير,200,طبق شوربة لسان عصفور
شوربة كريمة دجاج,180,6,10,12,طبق صغير,200,طبق شوربة كريمة دجاج
طعمية (فلافل),333,13,30,18,5 قطع,150,5 قطع فلافل مقلية
بطاطا حلوة مشوية,90,1.6,21,0.1,ثمرة متوسطة,130,ثمرة بطاطا حلوة مشوية
فطير مشلتت,420,7,50,22,قطعة صغيرة,100,قطعة فطير مشلتت
قرع عسل مطبوخ,70,1.2,15,0.5,طبق صغير,150,طبق قرع عسل مطبوخ
بسطرمة,300,25,0,22,100 جرام,100,100 جرام بسطرمة
سجق بلدي,320,18,4,28,100 جرام,100,100 جرام سجق بلدي
مرتديلا بقري,320,15,3,28,100 جرام,100,100 جرام مرتديلا بقري
لانشون دجاج,290,14,4,24,100 جرام,100,100 جرام لانشون دجاج
روستو بقري,250,23,2,15,100 جرام,100,100 جرام روستو بقري
سلمون مدخن,180,20,0,10,100 جرام,100,100 جرام سلمون مدخن
جمبري مشوي,99,20,0,1,100 جرام,100,100 جرام جمبري مشوي
كابوريا مسلوقة,90,19,1,1,100 جرام,100,100 جرام كابوريا مسلوقة
أخطبوط مسلوق,82,15,2,1,100 جرام,100,100 جرام أخطبوط مسلوق
محار بحري,79,16,4,1,100 جرام,100,100 جرام محار بحري
كاليماري مشوي,92,17,3,1,100 جرام,100,100 جرام كاليماري مشوي
تونة بزيت,200,25,0,10,100 جرام,100,100 جرام تونة محفوظة بالزيت
سمك ماكريل مشوي,230,21,0,15,100 جرام,100,100 جرام سمك ماكريل مشوي
رنجة مدخنة,210,25,0,12,100 جرام,100,100 جرام رنجة مدخنة
بط مشوي,337,24,0,28,100 جرام,100,100 جرام بط مشوي
إوز مشوي,350,23,0,30,100 جرام,100,100 جرام إوز مشوي
أرانب مطبوخة,190,28,0,8,100 جرام,100,100 جرام أرانب مطبوخة
قلوب بقري,142,20,1,6,100 جرام,100,100 جرام قلوب بقري
طحال بقري,130,21,1,4,100 جرام,100,100 جرام طحال بقري
مخ بقري,301,13,2,27,100 جرام,100,100 جرام مخ بقري
كرشة مطبوخة,140,18,0,6,100 جرام,100,100 جرام كرشة مطبوخة
لسان بقري,215,24,0,15,100 جرام,100,100 جرام لسان بقري
ديك رومي مشوي,189,28,0,8,100 جرام,100,100 جرام ديك رومي مشوي
بروكلي مطبوخ,35,2.5,7,0.4,نصف كوب,80,نصف كوب بروكلي مطبوخ
قرنبيط مسلوق,25,1.9,5,0.3,نصف كوب,80,نصف كوب قرنبيط مسلوق
سبانخ مطبوخ,23,3,3.7,0.3,نصف كوب,90,نصف كوب سبانخ مطبوخ
خس,15,1,3,0.2,كوب,50,كوب خس مقطع
جرجير,25,2.6,3.6,0.7,كوب,50,كوب جرجير طازج
فجل,16,0.7,3.4,0.1,كوب,50,كوب فجل مقطع
شمندر مسلوق,43,1.6,10,0.2,نصف كوب,85,نصف كوب شمندر مسلوق
لوبيا خضراء,31,1.8,7,0.1,نصف كوب,100,نصف كوب لوبيا خضراء مسلوقة
بامية خضراء,33,2,7,0.2,نصف كوب,100,نصف كوب بامية خضراء
كرنب أبيض,25,1.3,6,0.1,كوب,90,كوب كرنب أبيض مقطع
كرنب أحمر,31,1.5,7,0.2,كوب,90,كوب كرنب أحمر مقطع
خرشوف مسلوق,47,3.3,10,0.2,ثمرة متوسطة,120,ثمرة خرشوف مسلوقة
فطر (مشروم) مطبوخ,28,3.5,4,0.2,نصف كوب,80,نصف كوب مشروم مطبوخ
فلفل ألوان,27,1,6,0.3,ثمرة متوسطة,120,ثمرة فلفل ألوان متوسطة
جوز الهند مبشور,660,7,24,64,100 جرام,100,100 جرام جوز هند مبشور
تمر هندي,239,2,62,0.6,100 جرام,100,100 جرام تمر هندي
دبس رمان,258,1.5,65,0.3,100 جرام,100,100 جرام دبس رمان
زبيب,299,3.1,79,0.5,100 جرام,100,100 جرام زبيب
مشمش مجفف,241,3.4,63,0.5,100 جرام,100,100 جرام مشمش مجفف
تين مجفف,249,3.3,64,0.9,100 جرام,100,100 جرام تين مجفف
قراصيا,240,2.2,64,0.4,100 جرام,100,100 جرام قراصيا مجففة
بسكويت شاي,480,6,72,20,100 جرام,100,100 جرام بسكويت شاي
كيك عادي,385,5,60,15,100 جرام,100,100 جرام كيك عادي
دونات,452,5,52,25,100 جرام,100,100 جرام دونات محلاة
كريب حلو,295,6,45,10,قطعة متوسطة,100,قطعة كريب حلو
كريب حادق,330,8,38,15,قطعة متوسطة,100,قطعة كريب حادق
بسكويت بالسمسم,490,8,68,22,100 جرام,100,100 جرام بسكويت بالسمسم
تشيز كيك,410,6,38,26,100 جرام,100,100 جرام تشيز كيك
أرز باللبن,180,6,28,4,طبق صغير,200,طبق أرز باللبن
أم علي,310,7,38,14,طبق صغير,200,طبق أم علي
بسبوسة,350,6,60,14,100 جرام,100,100 جرام بسبوسة
كنافة,370,7,55,18,100 جرام,100,100 جرام كنافة
قطايف بالقشطة,290,6,50,9,قطعتين,100,قطعتان قطايف محشوة قشطة
قطايف بالمكسرات,320,7,45,14,قطعتين,100,قطعتان قطايف محشوة مكسرات
بريوش,340,8,55,12,100 جرام,100,100 جرام بريوش
تورته إسفنجية,310,5,60,10,100 جرام,100,100 جرام تورته إسفنجية
سمسمية,480,12,55,20,100 جرام,100,100 جرام سمسمية
فولية,450,14,48,18,100 جرام,100,100 جرام فولية
حلاوة الشعر,510,7,65,23,100 جرام,100,100 جرام حلاوة الشعر
